PARAMETER1,PARAMTER2,PARAMETER3,Site_ID
503698.7023,390170.4492,1734005.167,SIteid2
411974.9477,349284.6774,1070412.87,SIteid3
1480847.4730000002,1393357.969,5876136.052,SIteid4
349643.3834,238415.3353,1062351.236,SIteid7
620247.2059,498892.8149,1535959.0019999999,SIteid10
204909.9092,201241.0083,739643.3263,SIteid11
1300384.284,1056506.5559999999,4006909.913,SIteid17
337726.7934,299657.0738,1134261.564,SIteid18
131712.3232,111224.6738,206292.988,SIteid19
943033.3559999999,725344.4289,2417857.261,SIteid21
758133.1753,745470.122,2380663.124,SIteid24
479906.4729,343933.6541,1396451.1530000002,SIteid27
1157509.1979999999,1009059.4709999999,5138927.424,SIteid28
817810.8112,768682.8704,3222862.3310000002,SIteid35
640127.4279,610146.0192,2230481.727,SIteid37
715686.7049,627457.9918,2706574.716,SIteid38
126848.9148,125252.6579,251759.0557,SIteid39
1070492.297,924340.0191,3735975.047,SIteid40
386814.4975,384318.7404,772181.0637,SIteid41
752550.6362,654059.9781,2547591.8819999998,SIteid42
1005425.849,845828.7015,2984252.985,SIteid45
500966.0735,390865.9294,1875458.007,SIteid46
413327.1662,365646.9108,1580329.5459999999,SIteid50
1228603.342,703343.9751,3978519.3230000003,SIteid51
1145448.492,762319.63,3729053.617,SIteid53
471786.9212,343292.6818,1094822.571,SIteid56
354048.5098,246474.7282,767032.1273,SIteid59
2381937.07,2124827.805,9496269.724,SIteid64
891468.4827,728794.6893,4084828.955,SIteid65
722495.0767,575092.8003,2478157.997,SIteid67
334975.4593,308515.2661,863768.0317,SIteid68
814243.1588,782678.5544,3010081.902,SIteid71
293197.3947,230148.6361,790108.6451,SIteid74
635516.4022,397757.48,1589403.138,SIteid76
467676.0327,272134.8096,998164.707,SIteid77
666212.6673,522066.7797,2095117.5569999998,SIteid78
233944.9751,228098.453,791202.9703,SIteid79
392581.6537,385816.2905,1479560.1609999998,SIteid82
822252.4109,634254.7992,1479864.5590000001,SIteid85
340746.76700000005,303835.984,1233229.676,SIteid86
507170.2259,452875.1406,1012118.405,SIteid88
728896.0012,545323.4425,2362697.236,SIteid90
432971.03,430781.2288,2743274.272,SIteid93
396415.8142,319093.34,1487991.543,SIteid95
559476.0866,305688.585,207133.7337,SIteid100
492053.8511,476837.2781,1949893.041,SIteid101
668225.8271,486456.6462,2047502.271,SIteid111
449245.5866,342460.5023,1847353.699,SIteid115
1090585.027,791793.9274,2893456.962,SIteid118
895665.2925,513192.7874,2282768.39,SIteid121
497284.1089,369149.43200000003,1678269.302,SIteid122
750899.2201,580024.426,2074571.8569999998,SIteid123
937261.4943,794157.7304,4021944.059,SIteid124
1187563.139,876981.1953,4243663.795,SIteid127
806088.4809999999,615889.6124,2464307.931,SIteid128
248529.6528,184725.0226,878782.6115,SIteid130
607866.4846,570257.0298,2379318.7819999997,SIteid131
895478.4197,511193.614,2205277.261,SIteid134
567417.9832,521950.0522,1790803.9430000002,SIteid135
300062.5331,234439.8041,1443648.824,SIteid137
573349.7618,470474.2191,1578580.95,SIteid140
1668700.014,1091204.9270000001,3727998.917,SIteid143
566904.4222,493555.6894,1474049.404,SIteid144
505817.4337,413627.3796,1252741.018,SIteid145
593603.2714,499645.0425,1220609.65,SIteid146
496286.5697,388214.3309,2013180.06,SIteid147
646851.2092,586166.5934,2195124.751,SIteid151
135399.7822,126422.1136,306033.3266,SIteid152
293091.8547,175399.5819,279816.348,SIteid162
642463.42,557378.7631,1478709.549,SIteid170
604047.1333,408796.1931,1652251.6130000001,SIteid171
207075.8556,175121.4151,580004.0381,SIteid172
295219.1489,279140.1185,1000804.296,SIteid175
572796.8236,485525.6154,1548487.132,SIteid176
773097.6582,618918.9923,2022319.842,SIteid177
1508210.273,929481.5837,5503492.517999999,SIteid182
846464.538,647947.2994,2758615.4680000003,SIteid183
443118.4848,332289.4038,1200024.4270000001,SIteid184
101960.146,100816.4563,104203.845,SIteid185
723907.7635,513958.7608,2189422.5919999997,SIteid189
380850.5726,344742.0597,697364.9958,SIteid191
1092376.065,862611.9969,3224838.057,SIteid192
1388532.896,1066432.875,4510073.612,SIteid194
758823.7469,635730.6737,2264085.473,SIteid199
227842.4304,154225.2596,181036.6266,SIteid200
520631.2343,481076.3813,2309887.826,SIteid205
1002891.46,514411.6441,3019580.345,SIteid208
1160975.731,805081.4313,3973343.708,SIteid211
1131492.317,619805.1552,2624508.905,SIteid212
468988.869,317634.0752,1592428.205,SIteid216
254788.9095,245607.76100000003,943602.051,SIteid218
532292.7729,435305.9305,1976808.485,SIteid223
242943.8545,227333.2355,678702.7379,SIteid226
870692.327,794581.6224,2378367.995,SIteid229
537811.1555,512171.7575,2262629.571,SIteid232
239433.8984,211019.6807,752557.5504,SIteid234
532159.1020000001,384721.3342,1312867.15,SIteid236
283255.7518,197427.3987,829889.4527,SIteid237
653508.0227,578886.8533,2457336.727,SIteid242
735821.5655,455048.8933,1878517.325,SIteid245
316183.3513,287765.615,655495.3462,SIteid246
829257.1996,555647.8877,2028031.705,SIteid249
1437638.696,1057552.057,3312879.53,SIteid252
579205.6368,509168.3137,1838588.0,SIteid253
1077873.254,591770.047,2183964.8,SIteid254
776572.4176,508050.8667,1733576.364,SIteid258
924463.5554,583421.5579,2749860.704,SIteid264
743415.5201,601335.6373,2666344.383,SIteid265
398277.6456,375869.6048,1153826.812,SIteid267
600254.7194,505940.4066,1539132.665,SIteid269
582606.1394,314416.9854,1264874.096,SIteid272
688822.0526,673098.4436,2150655.35,SIteid274
1173386.52,822456.7917,4621444.704,SIteid275
172703.6542,171425.2813,902111.0085,SIteid277
525468.9182,407900.6432,1373673.6409999998,SIteid278
1216142.284,842041.9551,3175158.028,SIteid280
573841.3829,370301.72,1479616.918,SIteid282
458320.6859,333140.0377,1444273.364,SIteid284
216070.6296,168228.012,403577.8124,SIteid285
503940.3228,376355.2193,1439980.9319999998,SIteid287
168598.9225,135973.8084,361609.0639,SIteid288
227944.7101,220780.5349,549440.7343,SIteid289
638491.5126,508984.3037,2223913.018,SIteid291
1855238.4030000002,1092657.3190000001,5810243.877,SIteid292
1037438.4090000001,887926.2043,2254006.134,SIteid293
1384422.2240000002,867594.7608,5346526.495,SIteid294
704948.8209,679605.3502,2821717.938,SIteid295
335307.5088,272167.8472,1248426.6709999999,SIteid297
713678.5941,649341.782,2475675.031,SIteid301
989380.5513,546339.83,2114592.925,SIteid303
1168460.861,880550.805,2972180.784,SIteid305
685946.7648,591441.9277,3033064.762,SIteid308
843467.817,687972.5321,3327308.671,SIteid310
457029.915,419082.8775,1891085.737,SIteid312
317811.3246,284840.4965,849382.777,SIteid315
1002884.902,791629.2691,4343969.716,SIteid316
635886.3726,619362.6496,2746273.062,SIteid317
870627.8829,573724.2119,1498976.5769999998,SIteid327
504839.0393,476156.11100000003,1162470.676,SIteid328
185885.1051,125306.5213,239952.5613,SIteid330
542586.6426,527803.5957,2029868.604,SIteid333
215821.6351,144688.6788,338440.3424,SIteid334
